"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!60 years and over!!Estimate","United States!!60 years and over!!Margin of Error"
"        Never married","34.4%","±0.1","8.0%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","231,791,117","±66,347","80,983,092","±65,205"
"        Less than high school graduate","10.2%","±0.1","11.6%","±0.1"
"        High school graduate, GED, or alternative","25.9%","±0.1","29.5%","±0.1"
"        Some college or associate's degree","27.7%","±0.1","27.9%","±0.1"
"        Bachelor's degree or higher","36.2%","±0.1","31.0%","±0.1"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","",""
"    Population 30 years and over","209,884,411","±50,996","80,983,092","±65,205"
"        Living with grandchild(ren)","3.1%","±0.1","5.0%","±0.1"
"            Responsible for grandchild(ren)","1.0%","±0.1","1.3%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","260,971,464","±34,123","80,981,830","±65,283"
"        Civilian veteran","6.1%","±0.1","11.5%","±0.1"
"DISABILITY STATUS","","","",""
"    Civilian noninstitutionalized population","329,987,997","±20,494","79,361,333","±64,759"
"        With any disability","13.6%","±0.1","29.1%","±0.1"
"        No disability","86.4%","±0.1","70.9%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","331,383,809","±36,464","80,983,092","±65,205"
"        Same house","87.9%","±0.1","94.1%","±0.1"
"        Different house in the United States","11.3%","±0.1","5.5%","±0.1"
"            Same county","6.0%","±0.1","3.0%","±0.1"
"            Different county","5.3%","±0.1","2.5%","±0.1"
"                Same state","3.0%","±0.1","1.3%","±0.1"
"                Different state","2.3%","±0.1","1.2%","±0.1"
"        Abroad","0.7%","±0.1","0.4%","±0.1"
"PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY","","","",""
"    Total population","334,914,896","*****","80,983,092","±65,205"
"        Native","287,083,485","±190,467","68,817,582","±87,594"
"        Foreign born","47,831,411","±190,469","12,165,510","±56,845"
"            Entered  2010 or later","34.6%","±0.2","9.8%","±0.2"
"            Entered  2000 to 2009","21.8%","±0.1","10.3%","±0.2"
"            Entered  before 2000","43.6%","±0.2","79.9%","±0.2"
"            Naturalized U.S. citizen","52.2%","±0.2","75.2%","±0.3"
"            Not a U.S. citizen","47.8%","±0.2","24.8%","±0.3"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","",""
"    Population 5 years and over","316,581,199","±19,409","80,983,092","±65,205"
"        English only","77.5%","±0.1","83.6%","±0.1"
"        Language other than English","22.5%","±0.1","16.4%","±0.1"
"            Speak English less than ""very well""","8.7%","±0.1","9.1%","±0.1"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","271,122,729","±48,318","80,983,092","±65,205"
"        In labor force","63.8%","±0.1","30.2%","±0.1"
"            Civilian labor force","63.3%","±0.1","30.2%","±0.1"
"                Employed","60.6%","±0.1","29.3%","±0.1"
"                Unemployed","2.7%","±0.1","0.8%","±0.1"
"                    Percent of civilian labor force","4.3%","±0.1","2.7%","±0.1"
"            Armed forces","0.5%","±0.1","0.0%","±0.1"
"        Not in labor force","36.2%","±0.1","69.8%","±0.1"
"INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Households","131,332,360","±130,190","49,134,974","±80,383"
"        With earnings","77.7%","±0.1","49.1%","±0.1"
"            Mean earnings (dollars)","111,863","±198","89,572","±432"
"        With Social Security income","31.3%","±0.1","72.9%","±0.1"
"            Mean Social Security income (dollars)","23,488","±38","24,659","±40"
"        With Supplemental Security Income","5.0%","±0.1","7.2%","±0.1"
"            Mean Supplemental Security Income (dollars)","10,795","±42","10,928","±61"
"        With cash public assistance income","2.4%","±0.1","2.0%","±0.1"
"            Mean cash public assistance income (dollars)","3,625","±49","3,204","±71"
"        With retirement income","24.2%","±0.1","50.7%","±0.2"
"            Mean retirement income (dollars)","31,482","±126","33,895","±151"
"        With Food Stamp/SNAP benefits","12.2%","±0.1","11.1%","±0.1"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Population for whom poverty status is determined","327,076,658","±26,252","79,362,401","±64,679"
"        Below 100 percent of the poverty level","12.5%","±0.1","11.3%","±0.1"
"        100 to 149 percent of the poverty level","7.5%","±0.1","7.6%","±0.1"
"        At or above 150 percent of the poverty level","80.1%","±0.1","81.0%","±0.1"
"Occupied housing units","131,332,360","±130,190","49,134,974","±80,383"
"    HOUSING TENURE","","","",""
"        Owner-occupied housing units","65.2%","±0.1","78.0%","±0.1"
"        Renter-occupied housing units","34.8%","±0.1","22.0%","±0.1"
"        Average household size of owner-occupied unit","2.61","±0.01","2.03","±0.01"
"        Average household size of renter-occupied unit","2.25","±0.01","1.62","±0.01"
"    SELECTED CHARACTERISTICS","","","",""
"        No telephone service available","0.9%","±0.1","1.0%","±0.1"
"        1.01 or more occupants per room","3.5%","±0.1","1.2%","±0.1"
"Owner-occupied housing units","85,685,869","±259,497","38,326,060","±103,839"
"    SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","",""
"        Less than 30 percent","76.9%","±0.1","74.2%","±0.1"
"        30 percent or more","23.1%","±0.1","25.8%","±0.1"
"    OWNER CHARACTERISTICS","","","",""
"        Median value (dollars)","340,200","±571","320,500","±684"
"        Median selected monthly owner costs with a mortgage (dollars)","1,904","±4","1,690","±5"
"        Median selected monthly owner costs without a mortgage (dollars)","629","±2","625","±2"
"Renter-occupied housing units","45,646,491","±154,839","10,808,914","±60,476"
"    GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","",""
"        Less than 30 percent","51.8%","±0.2","44.8%","±0.3"
"        30 percent or more","48.2%","±0.2","55.2%","±0.3"
"    GROSS RENT","","","",""
"        Median gross rent (dollars)","1,406","±3","1,109","±5"
